"","ages_100","events_100"
"1",0.06,29
"2",0.16,26
"3",0.26,6
"4",0.36,11
"5",0.46,43
"6",0.56,23
"7",0.66,15
"8",0.76,25
"9",0.86,13
"10",0.96,17
"11",1.06,19
"12",1.16,11
"13",1.26,20
"14",1.36,20
"15",1.46,27
"16",1.56,12
"17",1.66,22
"18",1.76,10
"19",1.86,4
"20",1.96,21
"21",2.06,24
"22",2.16,12
"23",2.26,11
"24",2.36,20
"25",2.46,27
"26",2.56,14
"27",2.66,9
"28",2.76,16
"29",2.86,2
"30",2.96,26
"31",3.06,11
"32",3.16,9
"33",3.26,7
"34",3.36,9
"35",3.46,17
"36",3.56,18
"37",3.66,7
"38",3.76,13
"39",3.86,3
"40",3.96,35
"41",4.06,7
"42",4.16,11
"43",4.26,2
"44",4.36,4
"45",4.46,10
"46",4.56,6
"47",4.66,9
"48",4.76,4
"49",4.86,3
"50",4.96,13
"51",5.06,5
"52",5.16,7
"53",5.26,2
"54",5.36,0
"55",5.46,15
"56",5.56,4
"57",5.66,1
"58",5.76,2
"59",5.86,2
"60",5.96,16
"61",6.06,0
"62",6.16,5
"63",6.26,4
"64",6.36,0
"65",6.46,12
"66",6.56,0
"67",6.66,1
"68",6.76,2
"69",6.86,3
"70",6.96,27
"71",7.06,2
"72",7.16,0
"73",7.26,0
"74",7.36,1
"75",7.46,6
"76",7.56,0
"77",7.66,1
"78",7.76,0
"79",7.86,1
"80",7.96,24
"81",8.06,3
"82",8.16,3
"83",8.26,1
"84",8.36,0
"85",8.46,7
"86",8.56,0
"87",8.66,0
"88",8.76,1
"89",8.86,0
"90",8.96,10
"91",9.06,0
"92",9.16,0
"93",9.26,0
"94",9.36,1
"95",9.46,4
"96",9.56,5
"97",9.66,0
"98",9.76,0
"99",9.86,0
"100",9.96,13
"101",10.06,0
"102",10.16,0
"103",10.26,3
"104",10.36,0
"105",10.46,6
"106",10.56,0
"107",10.66,0
"108",10.76,1
"109",10.86,0
"110",10.96,15
"111",11.06,1
"112",11.16,0
"113",11.26,0
"114",11.36,0
"115",11.46,3
"116",11.56,0
"117",11.66,0
"118",11.76,2
"119",11.86,0
